Time (s);Identifier;Duration
1.9617187500e+01;33024;5.0000000000e+00
2.7617187500e+01;33026;5.0000000000e+00
3.5617187500e+01;33027;5.0000000000e+00
4.3617187500e+01;33025;5.0000000000e+00
5.1617187500e+01;33026;5.0000000000e+00
5.9617187500e+01;33025;5.0000000000e+00
6.7617187500e+01;33024;5.0000000000e+00
7.5617187500e+01;33027;5.0000000000e+00
8.3617187500e+01;33025;5.0000000000e+00
9.1617187500e+01;33026;5.0000000000e+00
9.9617187500e+01;33027;5.0000000000e+00
1.0761718750e+02;33024;5.0000000000e+00
1.1561718750e+02;33026;5.0000000000e+00
1.2361718750e+02;33024;5.0000000000e+00
1.3161718750e+02;33027;5.0000000000e+00
1.3961718750e+02;33025;5.0000000000e+00
1.4761718750e+02;33024;5.0000000000e+00
1.5561718750e+02;33027;5.0000000000e+00
1.6361718750e+02;33025;5.0000000000e+00
1.7161718750e+02;33026;5.0000000000e+00
1.7961718750e+02;33027;5.0000000000e+00
1.8761718750e+02;33024;5.0000000000e+00
1.9561718750e+02;33025;5.0000000000e+00
2.0361718750e+02;33026;5.0000000000e+00
2.1161718750e+02;33025;5.0000000000e+00
2.1961718750e+02;33027;5.0000000000e+00
2.2761718750e+02;33026;5.0000000000e+00
2.3561718750e+02;33024;5.0000000000e+00
2.4361718750e+02;33027;5.0000000000e+00
2.5161718750e+02;33026;5.0000000000e+00
2.5961718750e+02;33024;5.0000000000e+00
2.6761718750e+02;33025;5.0000000000e+00
2.7561718750e+02;33024;5.0000000000e+00
2.8361718750e+02;33026;5.0000000000e+00
2.9161718750e+02;33027;5.0000000000e+00
2.9961718750e+02;33025;5.0000000000e+00
3.0761718750e+02;33024;5.0000000000e+00
3.1561718750e+02;33026;5.0000000000e+00
3.2361718750e+02;33027;5.0000000000e+00
3.3161718750e+02;33025;5.0000000000e+00
3.3887500000e+02;32770;0.0000000000e+00
