Time (s);Identifier;Duration
1.5195312500e+01;33024;5.0000000000e+00
2.3195312500e+01;33026;5.0000000000e+00
3.1195312500e+01;33027;5.0000000000e+00
3.9195312500e+01;33025;5.0000000000e+00
4.7195312500e+01;33026;5.0000000000e+00
5.5195312500e+01;33025;5.0000000000e+00
6.3195312500e+01;33024;5.0000000000e+00
7.1195312500e+01;33027;5.0000000000e+00
7.9195312500e+01;33025;5.0000000000e+00
8.7195312500e+01;33026;5.0000000000e+00
9.5195312500e+01;33027;5.0000000000e+00
1.0319531250e+02;33024;5.0000000000e+00
1.1119531250e+02;33026;5.0000000000e+00
1.1919531250e+02;33024;5.0000000000e+00
1.2719531250e+02;33027;5.0000000000e+00
1.3519531250e+02;33025;5.0000000000e+00
1.4319531250e+02;33024;5.0000000000e+00
1.5119531250e+02;33027;5.0000000000e+00
1.5919531250e+02;33025;5.0000000000e+00
1.6719531250e+02;33026;5.0000000000e+00
1.7519531250e+02;33027;5.0000000000e+00
1.8319531250e+02;33024;5.0000000000e+00
1.9119531250e+02;33025;5.0000000000e+00
1.9919531250e+02;33026;5.0000000000e+00
2.0719531250e+02;33025;5.0000000000e+00
2.1519531250e+02;33027;5.0000000000e+00
2.2319531250e+02;33026;5.0000000000e+00
2.3119531250e+02;33024;5.0000000000e+00
2.3919531250e+02;33027;5.0000000000e+00
2.4719531250e+02;33026;5.0000000000e+00
2.5519531250e+02;33024;5.0000000000e+00
2.6319531250e+02;33025;5.0000000000e+00
2.7119531250e+02;33024;5.0000000000e+00
2.7919531250e+02;33026;5.0000000000e+00
2.8719531250e+02;33027;5.0000000000e+00
2.9519531250e+02;33025;5.0000000000e+00
3.0319531250e+02;33024;5.0000000000e+00
3.1119531250e+02;33026;5.0000000000e+00
3.1919531250e+02;33027;5.0000000000e+00
3.2719531250e+02;33025;5.0000000000e+00
3.3450000000e+02;32770;0.0000000000e+00
