Time Elapsed,Pulse Measurement
0,198
0.01,203
0.02,193
0.03,177
0.04,161
0.05,146
0.060000000000000005,134
0.07,124
0.08,116
0.09,113
0.09999999999999999,112
0.10999999999999999,113
0.11999999999999998,116
0.12999999999999998,120
0.13999999999999999,125
0.15,129
0.16,134
0.17,137
0.18000000000000002,142
0.19000000000000003,145
0.20000000000000004,147
0.21000000000000005,149
0.22000000000000006,149
0.23000000000000007,150
0.24000000000000007,150
0.25000000000000006,150
0.26000000000000006,152
0.2700000000000001,155
0.2800000000000001,163
0.2900000000000001,176
0.3000000000000001,195
0.3100000000000001,219
0.3200000000000001,248
0.3300000000000001,255
0.34000000000000014,255
0.35000000000000014,255
0.36000000000000015,255
0.37000000000000016,255
0.38000000000000017,255
0.3900000000000002,255
0.4000000000000002,255
0.4100000000000002,255
0.4200000000000002,255
0.4300000000000002,255
0.4400000000000002,255
0.45000000000000023,255
0.46000000000000024,255
0.47000000000000025,255
0.48000000000000026,255
0.49000000000000027,255
0.5000000000000002,255
0.5100000000000002,255
0.5200000000000002,255
0.5300000000000002,179
0.5400000000000003,115
0.5500000000000003,67
0.5600000000000003,62
0.5700000000000003,61
0.5800000000000003,61
0.5900000000000003,61
0.6000000000000003,62
0.6100000000000003,63
0.6200000000000003,79
0.6300000000000003,107
0.6400000000000003,134
0.6500000000000004,165
0.6600000000000004,185
0.6700000000000004,195
0.6800000000000004,196
0.6900000000000004,193
0.7000000000000004,188
0.7100000000000004,179
0.7200000000000004,169
0.7300000000000004,159
0.7400000000000004,151
0.7500000000000004,143
0.7600000000000005,137
0.7700000000000005,130
0.7800000000000005,127
0.7900000000000005,124
0.8000000000000005,121
0.8100000000000005,120
0.8200000000000005,120
0.8300000000000005,120
0.8400000000000005,122
0.8500000000000005,124
0.8600000000000005,126
0.8700000000000006,129
0.8800000000000006,132
0.8900000000000006,135
0.9000000000000006,137
0.9100000000000006,140
0.9200000000000006,143
0.9300000000000006,147
0.9400000000000006,150
0.9500000000000006,152
0.9600000000000006,155
0.9700000000000006,155
0.9800000000000006,154
0.9900000000000007,152
1.0000000000000007,150
1.0100000000000007,150
1.0200000000000007,153
1.0300000000000007,163
1.0400000000000007,179
1.0500000000000007,204
1.0600000000000007,235
1.0700000000000007,255
1.0800000000000007,255
1.0900000000000007,255
1.1000000000000008,255
1.1100000000000008,255
1.1200000000000008,255
1.1300000000000008,255
1.1400000000000008,255
1.1500000000000008,255
1.1600000000000008,255
1.1700000000000008,255
1.1800000000000008,255
1.1900000000000008,255
1.2000000000000008,255
1.2100000000000009,255
1.2200000000000009,255
